index,url,yt_url,title
38,0038-large.html,https://www.youtube.com/watch?v=Bo8MY4JpiXE,"François Chollet: Keras, Deep Learning, and the Progress of AI | Lex Fridman Podcast #38"
39,0039-large.html,https://www.youtube.com/watch?v=1d9Dj9dT_pw,Colin Angle: iRobot CEO | Lex Fridman Podcast #39
40,0040-large.html,https://www.youtube.com/watch?v=x0-zGdlpTeg,Regina Barzilay: Deep Learning for Cancer Diagnosis and Treatment | Lex Fridman Podcast #40
41,0041-large.html,https://www.youtube.com/watch?v=s78hvV3QLUE,"Leonard Susskind: Quantum Mechanics, String Theory and Black Holes | Lex Fridman Podcast #41"
42,0042-large.html,https://www.youtube.com/watch?v=_VPxEcT_Adc,Peter Norvig: Artificial Intelligence: A Modern Approach | Lex Fridman Podcast #42
43,0043-large.html,https://www.youtube.com/watch?v=vNOTDn3D_RI,Gary Marcus: Toward a Hybrid of Deep Learning and Symbolic AI | Lex Fridman Podcast #43
44,0044-large.html,https://www.youtube.com/watch?v=Whtt2H5_isM,"David Ferrucci: IBM Watson, Jeopardy & Deep Conversations with AI | Lex Fridman Podcast #44"
45,0045-large.html,https://www.youtube.com/watch?v=kD5yc1LQrpQ,"Michio Kaku: Future of Humans, Aliens, Space Travel & Physics | Lex Fridman Podcast #45"
46,0046-large.html,https://www.youtube.com/watch?v=8RVa0THWUWw,"Garry Kasparov: Chess, Deep Blue, AI, and Putin | Lex Fridman Podcast #46"
47,0047-large.html,https://www.youtube.com/watch?v=iNqqOLscOBY,Sean Carroll: Quantum Mechanics and the Many-Worlds Interpretation | Lex Fridman Podcast #47
48,0048-large.html,https://www.youtube.com/watch?v=uTxRF5ag27A,Bjarne Stroustrup: C++ | Lex Fridman Podcast #48
49,0049-large.html,https://www.youtube.com/watch?v=smK9dgdTl40,"Elon Musk: Neuralink, AI, Autopilot, and the Pale Blue Dot | Lex Fridman Podcast #49"
50,0050-large.html,https://www.youtube.com/watch?v=AzdxbzHtjgs,"Michael Kearns: Algorithmic Fairness, Privacy & Ethics | Lex Fridman Podcast #50"
51,0051-large.html,https://www.youtube.com/watch?v=2fI6bYnRgSc,"Dava Newman: Space Exploration, Space Suits, and Life on Mars | Lex Fridman Podcast #51"
52,0052-large.html,https://www.youtube.com/watch?v=lEZPfmGCEk0,"Gilbert Strang: Linear Algebra, Teaching, and MIT OpenCourseWare | Lex Fridman Podcast #52"
53,0053-large.html,https://www.youtube.com/watch?v=cMscNuSUy0I,"Noam Chomsky: Language, Cognition, and Deep Learning | Lex Fridman Podcast #53"
54,0054-large.html,https://www.youtube.com/watch?v=M95m2EFb7IQ,"Ray Dalio: Principles, the Economic Machine, AI & the Arc of Life | Lex Fridman Podcast #54"
55,0055-large.html,https://www.youtube.com/watch?v=0-3kw5BEKB8,"Whitney Cummings: Comedy, Robotics, Neurology, and Love | Lex Fridman Podcast #55"
56,0056-large.html,https://www.youtube.com/watch?v=pEBI0vF45ic,"Judea Pearl: Causal Reasoning, Counterfactuals, and the Path to AGI | Lex Fridman Podcast #56"
57,0057-large.html,https://www.youtube.com/watch?v=Ad89JYS-uZM,Rohit Prasad: Amazon Alexa and Conversational AI | Lex Fridman Podcast #57
58,0058-large.html,https://www.youtube.com/watch?v=3qMemn__kK8,Michael Stevens: Vsauce | Lex Fridman Podcast #58
59,0059-large.html,https://www.youtube.com/watch?v=ZPPAOakITeQ,"Sebastian Thrun: Flying Cars, Autonomous Vehicles, and Education | Lex Fridman Podcast #59"
60,0060-large.html,https://www.youtube.com/watch?v=IUHkhB366tE,"Jim Gates: Supersymmetry, String Theory and Proving Einstein Right | Lex Fridman Podcast #60"
61,0061-large.html,https://www.youtube.com/watch?v=ImKkaeUx1MU,"Melanie Mitchell: Concepts, Analogies, Common Sense & Future of AI | Lex Fridman Podcast #61"
62,0062-large.html,https://www.youtube.com/watch?v=2BdBfsXbST8,"Donald Knuth: Algorithms, Complexity, and The Art of Computer Programming | Lex Fridman Podcast #62"
63,0063-large.html,https://www.youtube.com/watch?v=oCkkjnpS2f8,"Stephen Kotkin: Stalin, Putin, and the Nature of Power | Lex Fridman Podcast #63"
64,0064-large.html,https://www.youtube.com/watch?v=U_lKUK2MCsg,Grant Sanderson: 3Blue1Brown and the Beauty of Mathematics | Lex Fridman Podcast #64
65,0065-large.html,https://www.youtube.com/watch?v=UwwBG-MbniY,"Daniel Kahneman: Thinking Fast and Slow, Deep Learning, and AI | Lex Fridman Podcast #65"
66,0066-large.html,https://www.youtube.com/watch?v=J21-7AsUcgM,Ayanna Howard: Human-Robot Interaction & Ethics of Safety-Critical Systems | Lex Fridman Podcast #66
67,0067-large.html,https://www.youtube.com/watch?v=OJQepiqSWvg,"Paul Krugman: Economics of Innovation, Automation, Safety Nets & UBI | Lex Fridman Podcast #67"
68,0068-large.html,https://www.youtube.com/watch?v=nkWmiNRPU-c,Cristos Goodrow: YouTube Algorithm | Lex Fridman Podcast #68
69,0069-large.html,https://www.youtube.com/watch?v=LW59lMvxmY4,David Chalmers: The Hard Problem of Consciousness | Lex Fridman Podcast #69
70,0070-large.html,https://www.youtube.com/watch?v=Nb2tebYAaOA,"Jim Keller: Moore's Law, Microprocessors, and First Principles | Lex Fridman Podcast #70"
71,0071-large.html,https://www.youtube.com/watch?v=bQa7hpUpMzM,"Vladimir Vapnik: Predicates, Invariants, and the Essence of Intelligence | Lex Fridman Podcast #71"
72,0072-large.html,https://www.youtube.com/watch?v=uX5t8EivCaM,Scott Aaronson: Quantum Computing | Lex Fridman Podcast #72
73,0073-large.html,https://www.youtube.com/watch?v=0jspaMLxBig,"Andrew Ng: Deep Learning, Education, and Real-World AI | Lex Fridman Podcast #73"
74,0074-large.html,https://www.youtube.com/watch?v=EYIKy_FM9x0,"Michael I. Jordan: Machine Learning, Recommender Systems, and Future of AI | Lex Fridman Podcast #74"
75,0075-large.html,https://www.youtube.com/watch?v=E1AxVXt2Gv4,"Marcus Hutter: Universal Artificial Intelligence, AIXI, and AGI | Lex Fridman Podcast #75"
76,0076-large.html,https://www.youtube.com/watch?v=DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast #76
77,0077-large.html,https://www.youtube.com/watch?v=gU-mkuMU428,"Alex Garland: Ex Machina, Devs, Annihilation, and the Poetry of Science | Lex Fridman Podcast #77"
78,0078-large.html,https://www.youtube.com/watch?v=7jFdxd1qX2g,"Ann Druyan: Cosmos, Carl Sagan, Voyager, and the Beauty of Science | Lex Fridman Podcast #78"
79,0079-large.html,https://www.youtube.com/watch?v=WgLo4gmEraU,Lee Smolin: Quantum Gravity and Einstein's Unfinished Revolution | Lex Fridman Podcast #79
80,0080-large.html,https://www.youtube.com/watch?v=3x1b_S6Qp2Q,"Vitalik Buterin: Ethereum, Cryptocurrency, and the Future of Money | Lex Fridman Podcast #80"
81,0081-large.html,https://www.youtube.com/watch?v=iOCfIFBBpVY,Anca Dragan: Human-Robot Interaction and Reward Engineering | Lex Fridman Podcast #81
82,0082-large.html,https://www.youtube.com/watch?v=_TTNGq9djU4,"Simon Sinek: Leadership, Hard Work, Optimism and the Infinite Game | Lex Fridman Podcast #82"
83,0083-large.html,https://www.youtube.com/watch?v=rfKiTGj-zeQ,Nick Bostrom: Simulation and Superintelligence | Lex Fridman Podcast #83
84,0084-large.html,https://www.youtube.com/watch?v=NvsI8ijW8xU,William MacAskill: Effective Altruism | Lex Fridman Podcast #84
85,0085-large.html,https://www.youtube.com/watch?v=orMtwOz6Db0,Roger Penrose: Physics of Consciousness and the Infinite Universe | Lex Fridman Podcast #85
86,0086-large.html,https://www.youtube.com/watch?v=uPUEq8d73JI,"David Silver: AlphaGo, AlphaZero, and Deep Reinforcement Learning | Lex Fridman Podcast #86"
87,0087-large.html,https://www.youtube.com/watch?v=5f-JlzBuUUU,"Richard Dawkins: Evolution, Intelligence, Simulation, and Memes | Lex Fridman Podcast #87"
88,0088-large.html,https://www.youtube.com/watch?v=rIAZJNe7YtE,Eric Weinstein: Geometric Unity and the Call for New Ideas & Institutions | Lex Fridman Podcast #88
89,0089-large.html,https://www.youtube.com/watch?v=ez773teNFYA,"Stephen Wolfram: Cellular Automata, Computation, and Physics | Lex Fridman Podcast #89"
90,0090-large.html,https://www.youtube.com/watch?v=CwyOUS8TSl0,Dmitry Korkin: Computational Biology of Coronavirus | Lex Fridman Podcast #90
91,0091-large.html,https://www.youtube.com/watch?v=60KJz1BVTyU,"Jack Dorsey: Square, Cryptocurrency, and Artificial Intelligence | Lex Fridman Podcast #91"
92,0092-large.html,https://www.youtube.com/watch?v=8A-5gIW0-eI,Harry Cliff: Particle Physics and the Large Hadron Collider | Lex Fridman Podcast #92
93,0093-large.html,https://www.youtube.com/watch?v=xlMTWfkQqbY,Daphne Koller: Biomedicine and Machine Learning | Lex Fridman Podcast #93
94,0094-large.html,https://www.youtube.com/watch?v=13CZPWmke6A,Ilya Sutskever: Deep Learning | Lex Fridman Podcast #94
95,0095-large.html,https://www.youtube.com/watch?v=HhY95m-WD_E,Dawn Song: Adversarial Machine Learning and Computer Security | Lex Fridman Podcast #95
96,0096-large.html,https://www.youtube.com/watch?v=aYwDs9LTN50,"Stephen Schwarzman: Going Big in Business, Investing, and AI | Lex Fridman Podcast #96"
97,0097-large.html,https://www.youtube.com/watch?v=M1-v-dXIzho,Sertac Karaman: Robots That Fly and Robots That Drive | Lex Fridman Podcast #97
98,0098-large.html,https://www.youtube.com/watch?v=7KTbEn7PiaY,Kate Darling: Social Robotics | Lex Fridman Podcast #98
99,0099-large.html,https://www.youtube.com/watch?v=NwzuibY5kUs,Karl Friston: Neuroscience and the Free Energy Principle | Lex Fridman Podcast #99
101,0101-large.html,https://www.youtube.com/watch?v=P-2P3MSZrBM,Joscha Bach: Artificial Consciousness and the Nature of Reality | Lex Fridman Podcast #101
102,0102-large.html,https://www.youtube.com/watch?v=PgtedwKGhXs,Steven Pressfield: The War of Art | Lex Fridman Podcast #102
